Date,Year,Quarter,MonthNo,Month,MonthYear,Week,Day,DayName,IsWeekend
2025-01-01,2025,Q1,1,January,Jan-2025,1,1,Wednesday,No
2025-01-02,2025,Q1,1,January,Jan-2025,1,2,Thursday,No
2025-01-03,2025,Q1,1,January,Jan-2025,1,3,Friday,No
2025-01-04,2025,Q1,1,January,Jan-2025,1,4,Saturday,Yes
2025-01-05,2025,Q1,1,January,Jan-2025,1,5,Sunday,Yes
2025-01-06,2025,Q1,1,January,Jan-2025,2,6,Monday,No
2025-01-07,2025,Q1,1,January,Jan-2025,2,7,Tuesday,No
2025-01-08,2025,Q1,1,January,Jan-2025,2,8,Wednesday,No
2025-01-09,2025,Q1,1,January,Jan-2025,2,9,Thursday,No
2025-01-10,2025,Q1,1,January,Jan-2025,2,10,Friday,No
2025-01-11,2025,Q1,1,January,Jan-2025,2,11,Saturday,Yes
2025-01-12,2025,Q1,1,January,Jan-2025,2,12,Sunday,Yes
2025-01-13,2025,Q1,1,January,Jan-2025,3,13,Monday,No
2025-01-14,2025,Q1,1,January,Jan-2025,3,14,Tuesday,No
2025-01-15,2025,Q1,1,January,Jan-2025,3,15,Wednesday,No
2025-01-16,2025,Q1,1,January,Jan-2025,3,16,Thursday,No
2025-01-17,2025,Q1,1,January,Jan-2025,3,17,Friday,No
2025-01-18,2025,Q1,1,January,Jan-2025,3,18,Saturday,Yes
2025-01-19,2025,Q1,1,January,Jan-2025,3,19,Sunday,Yes
2025-01-20,2025,Q1,1,January,Jan-2025,4,20,Monday,No
2025-01-21,2025,Q1,1,January,Jan-2025,4,21,Tuesday,No
2025-01-22,2025,Q1,1,January,Jan-2025,4,22,Wednesday,No
2025-01-23,2025,Q1,1,January,Jan-2025,4,23,Thursday,No
2025-01-24,2025,Q1,1,January,Jan-2025,4,24,Friday,No
2025-01-25,2025,Q1,1,January,Jan-2025,4,25,Saturday,Yes
2025-01-26,2025,Q1,1,January,Jan-2025,4,26,Sunday,Yes
2025-01-27,2025,Q1,1,January,Jan-2025,5,27,Monday,No
2025-01-28,2025,Q1,1,January,Jan-2025,5,28,Tuesday,No
2025-01-29,2025,Q1,1,January,Jan-2025,5,29,Wednesday,No
2025-01-30,2025,Q1,1,January,Jan-2025,5,30,Thursday,No
2025-01-31,2025,Q1,1,January,Jan-2025,5,31,Friday,No
2025-02-01,2025,Q1,2,February,Feb-2025,5,1,Saturday,Yes
2025-02-02,2025,Q1,2,February,Feb-2025,5,2,Sunday,Yes
2025-02-03,2025,Q1,2,February,Feb-2025,6,3,Monday,No
2025-02-04,2025,Q1,2,February,Feb-2025,6,4,Tuesday,No
2025-02-05,2025,Q1,2,February,Feb-2025,6,5,Wednesday,No
2025-02-06,2025,Q1,2,February,Feb-2025,6,6,Thursday,No
2025-02-07,2025,Q1,2,February,Feb-2025,6,7,Friday,No
2025-02-08,2025,Q1,2,February,Feb-2025,6,8,Saturday,Yes
2025-02-09,2025,Q1,2,February,Feb-2025,6,9,Sunday,Yes
2025-02-10,2025,Q1,2,February,Feb-2025,7,10,Monday,No
2025-02-11,2025,Q1,2,February,Feb-2025,7,11,Tuesday,No
2025-02-12,2025,Q1,2,February,Feb-2025,7,12,Wednesday,No
2025-02-13,2025,Q1,2,February,Feb-2025,7,13,Thursday,No
2025-02-14,2025,Q1,2,February,Feb-2025,7,14,Friday,No
2025-02-15,2025,Q1,2,February,Feb-2025,7,15,Saturday,Yes
2025-02-16,2025,Q1,2,February,Feb-2025,7,16,Sunday,Yes
2025-02-17,2025,Q1,2,February,Feb-2025,8,17,Monday,No
2025-02-18,2025,Q1,2,February,Feb-2025,8,18,Tuesday,No
2025-02-19,2025,Q1,2,February,Feb-2025,8,19,Wednesday,No
2025-02-20,2025,Q1,2,February,Feb-2025,8,20,Thursday,No
2025-02-21,2025,Q1,2,February,Feb-2025,8,21,Friday,No
2025-02-22,2025,Q1,2,February,Feb-2025,8,22,Saturday,Yes
2025-02-23,2025,Q1,2,February,Feb-2025,8,23,Sunday,Yes
2025-02-24,2025,Q1,2,February,Feb-2025,9,24,Monday,No
