Month,City,TotalEmployees,BreakfastUsers,LunchUsers,DinnerUsers,TotalMeals,MealCostPerMeal,MonthlyCost,CanteenUtilizationPercent
Jan,Hyderabad,300,188,233,106,527,70,811580,77.7
Jan,Bangalore,400,203,354,108,665,70,1024100,88.5
Jan,Pune,200,111,162,71,344,70,529760,81.0
Jan,Mumbai,500,283,392,172,847,70,1304380,78.4
Jan,Chennai,600,375,526,144,1045,70,1609300,87.7
Feb,Hyderabad,300,182,274,70,526,70,810040,91.3
Feb,Bangalore,400,231,339,99,669,70,1030260,84.8
Feb,Pune,200,109,160,62,331,70,509740,80.0
Feb,Mumbai,500,278,389,160,827,70,1273580,77.8
Feb,Chennai,600,300,565,217,1082,70,1666280,94.2
Mar,Hyderabad,300,194,225,71,490,70,754600,75.0
Mar,Bangalore,400,254,374,116,744,70,1145760,93.5
Mar,Pune,200,129,173,51,353,70,543620,86.5
Mar,Mumbai,500,281,394,105,780,70,1201200,78.8
Mar,Chennai,600,321,567,191,1079,70,1661660,94.5
Apr,Hyderabad,300,163,248,67,478,70,736120,82.7
Apr,Bangalore,400,194,328,144,666,70,1025640,82.0
Apr,Pune,200,92,183,51,326,70,502040,91.5
Apr,Mumbai,500,279,401,178,858,70,1321320,80.2
Apr,Chennai,600,381,532,144,1057,70,1627780,88.7
May,Hyderabad,300,188,258,60,506,70,779240,86.0
May,Bangalore,400,207,349,102,658,70,1013320,87.2
May,Pune,200,107,159,64,330,70,508200,79.5
May,Mumbai,500,282,401,155,838,70,1290520,80.2
May,Chennai,600,370,468,186,1024,70,1576960,78.0
Jun,Hyderabad,300,154,238,108,500,70,770000,79.3
Jun,Bangalore,400,246,316,129,691,70,1064140,79.0
Jun,Pune,200,128,153,69,350,70,539000,76.5
Jun,Mumbai,500,322,401,148,871,70,1341340,80.2
Jun,Chennai,600,281,551,146,978,70,1506120,91.8
Jul,Hyderabad,300,162,234,70,466,70,717640,78.0
Jul,Bangalore,400,197,308,99,604,70,930160,77.0
Jul,Pune,200,102,173,63,338,70,520520,86.5
Jul,Mumbai,500,263,396,110,769,70,1184260,79.2
Jul,Chennai,600,279,535,173,987,70,1519980,89.2
Aug,Hyderabad,300,179,248,96,523,70,805420,82.7
Aug,Bangalore,400,210,343,101,654,70,1007160,85.8
Aug,Pune,200,125,169,71,365,70,562100,84.5
Aug,Mumbai,500,277,407,149,833,70,1282820,81.4
Aug,Chennai,600,343,550,192,1085,70,1670900,91.7
Sep,Hyderabad,300,157,267,96,520,70,800800,89.0
Sep,Bangalore,400,235,330,143,708,70,1090320,82.5
Sep,Pune,200,98,162,56,316,70,486640,81.0
Sep,Mumbai,500,249,404,123,776,70,1195040,80.8
Sep,Chennai,600,342,506,122,970,70,1493800,84.3
Oct,Hyderabad,300,191,239,101,531,70,817740,79.7
Oct,Bangalore,400,216,364,111,691,70,1064140,91.0
Oct,Pune,200,103,165,59,327,70,503580,82.5
Oct,Mumbai,500,297,465,108,870,70,1339800,93.0
Oct,Chennai,600,300,477,163,940,70,1447600,79.5
Nov,Hyderabad,300,194,253,70,517,70,796180,84.3
Nov,Bangalore,400,248,351,127,726,70,1118040,87.8
Nov,Pune,200,122,183,79,384,70,591360,91.5
Nov,Mumbai,500,261,451,108,820,70,1262800,90.2
Nov,Chennai,600,379,461,203,1043,70,1606220,76.8
Dec,Hyderabad,300,138,229,115,482,70,742280,76.3
Dec,Bangalore,400,216,323,148,687,70,1057980,80.8
Dec,Pune,200,101,186,49,336,70,517440,93.0
Dec,Mumbai,500,256,427,123,806,70,1241240,85.4
Dec,Chennai,600,281,456,198,935,70,1439900,76.0
